SECOND_FLD,review-count
12327_27077,0.0
12328_27000,20.0
12328_27004,0.0
12328_27009,0.0
12328_27020,0.0
12328_27021,0.0
12328_27052,2.0
12328_27054,0.0
12328_27057,2608.0
12328_27063,1.0
12328_27068,3.0
12328_27070,0.0
12328_27071,0.0
12329_26995,6.0
12329_26997,1.0
12329_27004,0.0
12329_27009,0.0
12329_27010,11.0
12329_27022,0.0
12329_27055,17.0
12329_27056,2.0
12329_27062,7.0
12329_27063,8.0
12329_27065,9.0
12329_27066,0.0
12329_27067,199.0
12330_26987,0.0
12330_26994,5.0
12330_26997,22.0
12330_26998,6.0
12330_27000,0.0
12330_27001,15.0
12330_27009,1.0
12330_27022,0.0
12330_27032,2.0
12330_27036,2.0
12330_27055,0.0
12330_27056,10.0
12330_27057,1.0
12330_27058,0.0
12330_27067,0.0
12331_27000,0.0
12331_27004,0.0
12331_27015,0.0
12331_27055,1.0
12331_27057,10.0
12332_27000,0.0
12332_27013,0.0
12332_27014,0.0
12332_27015,0.0
12332_27030,0.0
12333_26982,11.0
12333_27002,16.0
12333_27013,5.0
12333_27014,1.0
12333_27015,0.0
12333_27020,0.0
12333_27021,0.0
12333_27042,0.0
12333_27043,2.0
12334_26951,1.0
12334_27013,21.0
12334_27021,0.0
12334_27022,0.0
12334_27026,1.0
12334_27045,0.0
12334_27054,2.0
12335_26953,1.0
12335_26975,5.0
12335_26996,0.0
12335_26997,0.0
12335_27003,0.0
12335_27010,0.0
12335_27012,0.0
12335_27018,2.0
12335_27022,0.0
12335_27025,0.0
12335_27029,113.0
12335_27033,0.0
12335_27048,1.0
12335_27051,0.0
12335_27058,0.0
12335_27060,0.0
12336_26955,0.0
12336_26957,0.0
12336_26998,1.0
12336_27003,2.0
12336_27014,0.0
12336_27047,0.0
12336_27051,33.0
12336_27054,1.0
12337_26951,10.0
12337_26961,0.0
12337_26962,15.0
12337_26972,0.0
12337_26983,5.0
12337_27003,1.0
12337_27017,1.0
12337_27031,66.0
12338_26940,0.0
12338_26950,6.0
12338_26956,9.0
12338_26964,52.0
12338_26980,1.0
12338_26981,22.0
12338_26998,0.0
12338_26999,0.0
12338_27003,0.0
12338_27014,0.0
12338_27025,100.0
12338_27026,37.0
12338_27028,0.0
12338_27029,6.0
12338_27030,0.0
12338_27033,3.0
12338_27043,13.0
12338_27046,1.0
12338_27047,0.0
